Crab,Width Carapace,Length Carapace,Weight,Sex,Berried,Habitat,Missing Chelae,Missing Walking Leg,Date
2.51,,,,,,,,,
2.52,,,,,,,,,
2.53,,,,,,,,,
2.54,,,,,,,,,
2.55,,,,,,,,,
2.56,,,,,,,,,
2.57,,,,,,,,,
2.58,,,,,,,,,
2.59,,,,,,,,,
2.60,,,,,,,,,
2.61,,,,,,,,,
2.62,,,,,,,,,
2.63,,,,,,,,,
2.64,,,,,,,,,
2.65,,,,,,,,,
2.66,,,,,,,,,
2.67,,,,,,,,,
2.68,,,,,,,,,
2.69,,,,,,,,,
2.70,,,,,,,,,
2.71,,,,,,,,,
2.72,,,,,,,,,
2.73,,,,,,,,,
2.74,,,,,,,,,
2.75,,,,,,,,,
2.76,,,,,,,,,
2.77,,,,,,,,,
2.78,,,,,,,,,
2.79,,,,,,,,,
2.80,,,,,,,,,
2.81,,,,,,,,,
2.82,,,,,,,,,
2.83,,,,,,,,,
2.84,,,,,,,,,
2.85,,,,,,,,,
2.86,,,,,,,,,
2.87,,,,,,,,,
2.88,,,,,,,,,
2.89,,,,,,,,,
2.90,,,,,,,,,
2.91,,,,,,,,,
2.92,,,,,,,,,
2.93,,,,,,,,,
2.94,,,,,,,,,
2.95,,,,,,,,,
2.96,,,,,,,,,
2.97,,,,,,,,,
2.98,,,,,,,,,
2.99,,,,,,,,,
2.100,,,,,,,,,
2.101,,,,,,,,,
2.102,,,,,,,,,
2.103,,,,,,,,,
2.104,,,,,,,,,
2.105,,,,,,,,,
2.106,,,,,,,,,
2.107,,,,,,,,,
2.108,,,,,,,,,
2.109,,,,,,,,,
2.110,,,,,,,,,
2.111,,,,,,,,,
2.112,,,,,,,,,
2.113,,,,,,,,,
2.114,,,,,,,,,
2.115,,,,,,,,,
2.116,,,,,,,,,
